 ,name,x_pos,y_pos
1,"100µm demag0,25 #1.dm3",2043.682,2054.057
2,"100µm demag0,25 #2.dm3",2045.263,1956.135
3,"100µm demag0,25 #3.dm3",2031.501,1734.323
4,"100µm demag0,25 #4.dm3",2018.466,1545.482
5,"100µm demag0,25 #5.dm3",2002.485,1318.777
6,"100µm demag0,25 #6.dm3",1984.860,1068.869
7,"100µm demag0,25 #7.dm3",1966.875,802.362
8,"100µm demag0,25 #8.dm3",1950.962,562.151
9,"100µm demag0,25 #9.dm3",1930.411,236.467
10,"100µm demag0,25 #10.dm3",2074.832,2293.226
11,"100µm demag0,25 #11.dm3",2087.070,2477.314
12,"100µm demag0,25 #12.dm3",2100.164,2694.371
13,"100µm demag0,25 #13.dm3",2111.433,2856.374
14,"100µm demag0,25 #14.dm3",2121.209,2997.205
15,"100µm demag0,25 #15.dm3",2132.446,3165.652
16,"100µm demag0,25 #16.dm3",2143.458,3341.735
17,"100µm demag0,25 #17.dm3",2154.032,3530.684
18,"100µm demag0,25 #18.dm3",2166.786,3754.954
