X,Y
450,4011.364
455,3852.464
460,3694.074
465,3543.412
470,3405.957
475,3275.299
480,3143.177
485,3020.425
490,2903.896
495,2796.677
500,2689.913
505,2588.496
510,2492.270
515,2426.929
520,2383.020
525,2370.088
530,2358.630
535,2302.572
540,2234.388
545,2153.261
550,2088.843
555,2051.114
560,2405.365
565,2946.657
570,3537.118
575,4014.317
580,3989.989
585,3793.708
590,3550.375
595,3452.721
600,3439.897
605,3390.989
610,3325.259
615,3266.906
620,3244.677
625,3243.482
630,3235.262
635,3211.888
640,3160.398
645,3104.185
650,3051.627
655,3000.729
660,2952.421
665,2895.490
670,2834.530
675,2785.928
680,2759.191
685,2740.418
690,2729.762
695,2950.758
700,3014.615
705,3088.580
710,3178.895
715,2987.978
720,2956.211
725,2908.299
730,2846.156
735,2814.681
740,2781.998
745,2747.185
750,2712.489
